2026-03-23 17:57:45,634 | DEBUG    | ITS_App:32 | 成功加载提示词: comprehensive_service_agent
2026-03-23 17:57:45,639 | DEBUG    | ITS_App:32 | 成功加载提示词: technical_agent
2026-03-23 17:57:45,640 | DEBUG    | ITS_App:32 | 成功加载提示词: orchestrator_v1
2026-03-23 17:57:45,714 | INFO     | ITS_App:23 | 应用启动...
2026-03-23 17:57:45,715 | INFO     | ITS_App:30 | 正在连接MCP服务器...
2026-03-23 17:57:51,410 | INFO     | ITS_App:33 | MCP服务器连接成功
2026-03-23 17:58:12,577 | INFO     | ITS_App:57 | 接收到获取用户会话请求
2026-03-23 17:58:12,578 | INFO     | ITS_App:61 | 获取用户 root1 的所有会话记忆数据
2026-03-23 17:58:12,586 | DEBUG    | ITS_App:66 | 成功获取用户 root1 的 13 个会话
2026-03-23 17:58:50,466 | INFO     | ITS_App:57 | 接收到获取用户会话请求
2026-03-23 17:58:50,467 | INFO     | ITS_App:61 | 获取用户 root1 的所有会话记忆数据
2026-03-23 17:58:50,472 | DEBUG    | ITS_App:66 | 成功获取用户 root1 的 13 个会话
2026-03-23 18:02:16,334 | INFO     | ITS_App:57 | 接收到获取用户会话请求
2026-03-23 18:02:16,334 | INFO     | ITS_App:61 | 获取用户 root1 的所有会话记忆数据
2026-03-23 18:02:16,346 | DEBUG    | ITS_App:66 | 成功获取用户 root1 的 13 个会话
2026-03-23 18:02:26,754 | INFO     | ITS_App:57 | 接收到获取用户会话请求
2026-03-23 18:02:26,754 | INFO     | ITS_App:61 | 获取用户 root1 的所有会话记忆数据
2026-03-23 18:02:26,762 | DEBUG    | ITS_App:66 | 成功获取用户 root1 的 13 个会话
2026-03-23 18:02:56,957 | INFO     | ITS_App:57 | 接收到获取用户会话请求
2026-03-23 18:02:56,958 | INFO     | ITS_App:61 | 获取用户 root1 的所有会话记忆数据
2026-03-23 18:02:56,967 | DEBUG    | ITS_App:66 | 成功获取用户 root1 的 13 个会话
2026-03-23 18:03:00,486 | INFO     | ITS_App:57 | 接收到获取用户会话请求
2026-03-23 18:03:00,486 | INFO     | ITS_App:61 | 获取用户 root1 的所有会话记忆数据
2026-03-23 18:03:00,491 | DEBUG    | ITS_App:66 | 成功获取用户 root1 的 13 个会话
2026-03-23 18:03:42,124 | INFO     | ITS_App:57 | 接收到获取用户会话请求
2026-03-23 18:03:42,124 | INFO     | ITS_App:61 | 获取用户 root1 的所有会话记忆数据
2026-03-23 18:03:42,133 | DEBUG    | ITS_App:66 | 成功获取用户 root1 的 13 个会话
2026-03-23 18:05:40,047 | INFO     | ITS_App:57 | 接收到获取用户会话请求
2026-03-23 18:05:40,047 | INFO     | ITS_App:61 | 获取用户 root1 的所有会话记忆数据
2026-03-23 18:05:40,056 | DEBUG    | ITS_App:66 | 成功获取用户 root1 的 13 个会话
2026-03-23 18:08:45,181 | INFO     | ITS_App:57 | 接收到获取用户会话请求
2026-03-23 18:08:45,181 | INFO     | ITS_App:61 | 获取用户 root1 的所有会话记忆数据
2026-03-23 18:08:45,192 | DEBUG    | ITS_App:66 | 成功获取用户 root1 的 13 个会话
2026-03-23 18:12:18,815 | INFO     | ITS_App:57 | 接收到获取用户会话请求
2026-03-23 18:12:18,816 | INFO     | ITS_App:61 | 获取用户 root1 的所有会话记忆数据
2026-03-23 18:12:18,824 | DEBUG    | ITS_App:66 | 成功获取用户 root1 的 13 个会话
2026-03-23 18:14:19,701 | INFO     | ITS_App:57 | 接收到获取用户会话请求
2026-03-23 18:14:19,702 | INFO     | ITS_App:61 | 获取用户 root1 的所有会话记忆数据
2026-03-23 18:14:19,710 | DEBUG    | ITS_App:66 | 成功获取用户 root1 的 13 个会话
2026-03-23 20:33:35,117 | INFO     | ITS_App:57 | 接收到获取用户会话请求
2026-03-23 20:33:35,119 | INFO     | ITS_App:61 | 获取用户 root1 的所有会话记忆数据
2026-03-23 20:33:35,129 | DEBUG    | ITS_App:66 | 成功获取用户 root1 的 13 个会话
2026-03-23 20:33:49,473 | INFO     | ITS_App:57 | 接收到获取用户会话请求
2026-03-23 20:33:49,474 | INFO     | ITS_App:61 | 获取用户 root1 的所有会话记忆数据
2026-03-23 20:33:49,486 | DEBUG    | ITS_App:66 | 成功获取用户 root1 的 13 个会话
2026-03-23 20:38:17,991 | INFO     | ITS_App:57 | 接收到获取用户会话请求
2026-03-23 20:38:17,995 | INFO     | ITS_App:61 | 获取用户 root1 的所有会话记忆数据
2026-03-23 20:38:18,008 | DEBUG    | ITS_App:66 | 成功获取用户 root1 的 13 个会话
2026-03-23 20:38:56,721 | INFO     | ITS_App:32 | 用户 root1 发送的待处理任务 你好
2026-03-23 20:39:11,466 | INFO     | ITS_App:57 | 接收到获取用户会话请求
2026-03-23 20:39:11,466 | INFO     | ITS_App:61 | 获取用户 root1 的所有会话记忆数据
2026-03-23 20:39:11,471 | DEBUG    | ITS_App:66 | 成功获取用户 root1 的 13 个会话
2026-03-23 20:43:54,903 | INFO     | ITS_App:57 | 接收到获取用户会话请求
2026-03-23 20:43:54,905 | INFO     | ITS_App:61 | 获取用户 root1 的所有会话记忆数据
2026-03-23 20:43:54,914 | DEBUG    | ITS_App:66 | 成功获取用户 root1 的 13 个会话
2026-03-23 20:44:25,638 | INFO     | ITS_App:40 | 应用关闭...
2026-03-23 20:44:25,643 | INFO     | ITS_App:46 | MCP服务器连接已清理
2026-03-23 20:44:25,646 | INFO     | ITS_App:77 | 2.启动Web服务器成功...
